city,state_id,county_name,lat,lng,population
Pensacola,FL,Escambia,30.4413,-87.1911,401535
Arlington,TX,Tarrant,32.6998,-97.1250,394769
Aurora,CO,Arapahoe,39.7083,-104.7237,390201
Scranton,PA,Lackawanna,41.4044,-75.6649,375462
Oxnard,CA,Ventura,34.1964,-119.1815,373423
Indio,CA,Riverside,33.7346,-116.2346,371926
Victorville,CA,San Bernardino,34.5277,-117.3536,363596
Trenton,NJ,Mercer,40.2237,-74.7641,362501
Huntsville,AL,Madison,34.6981,-86.6412,359389
Modesto,CA,Stanislaus,37.6375,-121.0028,355686
Honolulu,HI,Honolulu,21.3294,-157.8460,346323
Greensboro,NC,Guilford,36.0956,-79.8271,345858
Fort Wayne,IN,Allen,41.0888,-85.1436,345279
Anaheim,CA,Orange,33.8390,-117.8574,344553
Corpus Christi,TX,Nueces,27.7254,-97.3767,339432
Fort Collins,CO,Larimer,40.5477,-105.0656,339256
Antioch,CA,Contra Costa,37.9787,-121.7960,333347
Jackson,MS,Hinds,32.3157,-90.2125,331332
Fayetteville,NC,Cumberland,35.0850,-78.9772,326821
Myrtle Beach,SC,Horry,33.7094,-78.8844,325829
Henderson,NV,Clark,36.0133,-115.0381,324523
Mobile,AL,Mobile,30.6782,-88.1162,324067
Lexington,KY,Fayette,38.0423,-84.4587,321122
Lansing,MI,Ingham,42.7142,-84.5601,318001
Savannah,GA,Chatham,32.0286,-81.1821,316446
Youngstown,OH,Mahoning,41.0993,-80.6463,315751
Ann Arbor,MI,Washtenaw,42.2759,-83.7310,314647
Santa Ana,CA,Orange,33.7367,-117.8819,311639
Irvine,CA,Orange,33.6772,-117.7738,308160
St. Paul,MN,Ramsey,44.9478,-93.1039,307762
Poughkeepsie,NY,Dutchess,41.6950,-73.9211,307738
Newark,NJ,Essex,40.7245,-74.1725,307188
Santa Rosa,CA,Sonoma,38.4458,-122.7067,299986
Concord,NC,Cabarrus,35.3933,-80.6369,297379
Winter Haven,FL,Polk,28.0118,-81.7014,296830
Asheville,NC,Buncombe,35.5707,-82.5537,295040
Canton,OH,Stark,40.8078,-81.3676,293657
Lincoln,NE,Lancaster,40.8099,-96.6784,293055
Flint,MI,Genesee,43.0236,-83.6921,291688
Lakeland,FL,Polk,28.0557,-81.9545,290762
Jersey City,NJ,Hudson,40.7184,-74.0686,289691
Anchorage,AK,Anchorage,61.1508,-149.1091,289069
Springfield,MO,Greene,37.1943,-93.2916,289041
Plano,TX,Collin,33.0502,-96.7486,287339
Lubbock,TX,Lubbock,33.5657,-101.8879,283024
Davenport,IA,Scott,41.5565,-90.6053,282356
Reading,PA,Berks,40.3400,-75.9267,280030
Shreveport,LA,Caddo,32.4653,-93.7955,278269
